carnet,nombre,carrera,departamento,promedio
EST000000,Estudiante 0,Contaduría,San Miguel,7.81
EST000001,Estudiante 1,Contaduría,San Salvador,5.73
EST000002,Estudiante 2,Administración,Santa Ana,5.4
EST000003,Estudiante 3,Contaduría,San Miguel,8.89
EST000004,Estudiante 4,Arquitectura,Santa Ana,9.0
EST000005,Estudiante 5,Ingeniería Industrial,La Libertad,5.71
EST000006,Estudiante 6,Ingeniería en Sistemas,San Miguel,8.15
EST000007,Estudiante 7,Arquitectura,San Miguel,9.08
EST000008,Estudiante 8,Ingeniería en Sistemas,San Salvador,5.2
EST000009,Estudiante 9,Ingeniería en Sistemas,Sonsonate,6.37
EST000010,Estudiante 10,Ingeniería en Sistemas,Santa Ana,9.46
EST000011,Estudiante 11,Contaduría,San Salvador,6.14
EST000012,Estudiante 12,Contaduría,Sonsonate,8.43
EST000013,Estudiante 13,Arquitectura,Santa Ana,7.51
EST000014,Estudiante 14,Arquitectura,San Miguel,7.21
EST000015,Estudiante 15,Ingeniería Industrial,La Libertad,5.04
EST000016,Estudiante 16,Contaduría,San Salvador,9.43
EST000017,Estudiante 17,Ingeniería en Sistemas,Santa Ana,8.4
EST000018,Estudiante 18,Administración,Santa Ana,5.49
EST000019,Estudiante 19,Arquitectura,San Salvador,8.7
EST000020,Estudiante 20,Administración,San Miguel,5.97
EST000021,Estudiante 21,Arquitectura,Sonsonate,8.25
EST000022,Estudiante 22,Contaduría,San Salvador,8.93
EST000023,Estudiante 23,Contaduría,La Libertad,6.41
EST000024,Estudiante 24,Arquitectura,La Libertad,7.62
EST000025,Estudiante 25,Ingeniería Industrial,La Libertad,6.64
EST000026,Estudiante 26,Ingeniería en Sistemas,San Salvador,7.02
EST000027,Estudiante 27,Arquitectura,La Libertad,9.78
EST000028,Estudiante 28,Ingeniería en Sistemas,San Miguel,6.47
EST000029,Estudiante 29,Contaduría,San Salvador,7.44
EST000030,Estudiante 30,Ingeniería Industrial,La Libertad,7.41
EST000031,Estudiante 31,Ingeniería Industrial,Santa Ana,9.32
EST000032,Estudiante 32,Ingeniería Industrial,La Libertad,8.86
EST000033,Estudiante 33,Ingeniería en Sistemas,San Salvador,8.02
EST000034,Estudiante 34,Ingeniería Industrial,La Libertad,9.83
EST000035,Estudiante 35,Ingeniería en Sistemas,San Salvador,9.39
EST000036,Estudiante 36,Arquitectura,Sonsonate,7.96
EST000037,Estudiante 37,Administración,Sonsonate,9.63
EST000038,Estudiante 38,Arquitectura,Sonsonate,6.51
EST000039,Estudiante 39,Administración,San Miguel,8.32
EST000040,Estudiante 40,Ingeniería en Sistemas,Santa Ana,7.42
EST000041,Estudiante 41,Ingeniería Industrial,Sonsonate,8.41
EST000042,Estudiante 42,Arquitectura,Santa Ana,8.65
EST000043,Estudiante 43,Arquitectura,Santa Ana,5.89
EST000044,Estudiante 44,Ingeniería Industrial,Santa Ana,8.54
EST000045,Estudiante 45,Ingeniería Industrial,La Libertad,6.3
EST000046,Estudiante 46,Contaduría,San Miguel,8.09
EST000047,Estudiante 47,Ingeniería Industrial,Sonsonate,9.67
EST000048,Estudiante 48,Arquitectura,San Miguel,5.88
EST000049,Estudiante 49,Ingeniería en Sistemas,San Salvador,6.43
EST000050,Estudiante 50,Ingeniería Industrial,San Salvador,8.03
EST000051,Estudiante 51,Administración,Sonsonate,8.71
EST000052,Estudiante 52,Arquitectura,La Libertad,9.16
EST000053,Estudiante 53,Contaduría,La Libertad,5.23
EST000054,Estudiante 54,Ingeniería Industrial,Santa Ana,5.6
EST000055,Estudiante 55,Administración,La Libertad,6.44
EST000056,Estudiante 56,Ingeniería en Sistemas,San Salvador,6.48
EST000057,Estudiante 57,Contaduría,San Salvador,6.0
EST000058,Estudiante 58,Administración,San Miguel,6.18
EST000059,Estudiante 59,Contaduría,Sonsonate,9.01
EST000060,Estudiante 60,Arquitectura,San Salvador,5.55
EST000061,Estudiante 61,Arquitectura,Sonsonate,6.0
EST000062,Estudiante 62,Administración,San Salvador,5.2
EST000063,Estudiante 63,Administración,San Salvador,9.44
EST000064,Estudiante 64,Arquitectura,Sonsonate,5.71
EST000065,Estudiante 65,Ingeniería en Sistemas,La Libertad,9.88
EST000066,Estudiante 66,Ingeniería Industrial,Sonsonate,7.31
